Energy (eV),OscStrength,Normalized f,Peak Intensity,Spectral Area,Mean Energy,Variance,ε₁ (Real dielectric),ε₂ (Imag dielectric),n (Refractive index),κ (Extinction coeff),α (Absorption cm^-1),System
0.0063393890825991185,2.1835388678305648e-10,1.8403523308538902e-11,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.496832314002445,1.1854892351758097e-06,2.1205735813695603,2.7957056521316944e-07,2.510225261150326e-11,CaF2:Er
0.007629398988641163,4.0272454912080205e-09,3.394283809579803e-10,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.496188209412391,2.222007967728811e-07,2.1204217055605694,5.1619136559035694e-08,5.5779537226950594e-12,CaF2:Er
0.009242535885820687,8.033784833478681e-11,6.771115853119949e-12,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.49538300064999,1.3301836497264606e-07,2.120231827100516,2.9802322387695312e-08,3.901351651005901e-12,CaF2:Er
0.010328872933569168,2.4725705282796157e-09,2.08395692055669e-10,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.494840894142775,2.488395835978149e-06,2.1201039819176604,5.866593028613784e-07,8.582478817100543e-11,CaF2:Er
0.010570555301183003,5.230664660383043e-10,4.4085617350219615e-11,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.494720305246396,2.121925396520977e-06,2.12007554234434,5.004660971089203e-07,7.492837410706708e-11,CaF2:Er
0.01090207511461716,3.5891114064762796e-11,3.02501120539497e-12,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.4945549008879055,3.478009264590094e-07,2.120036532913504,8.161702118890974e-08,1.2602704510682455e-11,CaF2:Er
0.0113444986837177,8.839285965972536e-12,7.450016471071094e-13,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.494334180676718,2.2236206619748664e-06,2.1199844765179283,5.2430069702146e-07,8.42441179999863e-11,CaF2:Er
0.012449387563199252,2.1578208504540168e-08,1.8186764111250623e-09,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.493783049153283,2.296862866043329e-05,2.1198544877379275,5.417509740626295e-06,9.552598657506763e-10,CaF2:Er
0.012728115304895635,2.382080642121551e-10,2.0076893187460772e-11,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.493644035724494,0.000173041093909,2.119821699433789,4.081501223255367e-05,7.357967675512819e-09,CaF2:Er
0.014263627319440064,4.955384604429534e-06,4.176547411816912e-07,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.492878349227222,0.0001882424637373,2.1196410901846017,4.440432525470477e-05,8.970757189150089e-09,CaF2:Er
0.016060138269157066,2.946588680045243e-10,2.483473697345578e-11,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.491982813470697,0.000440844976613,2.119429834716609,0.0001040008416634,2.3657016763870435e-08,CaF2:Er
0.017248719908066992,7.892011378444037e-10,6.65162491468502e-11,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.491390498871597,0.0001037019899929,2.1192900932789245,2.4466209258351955e-05,5.977194656582686e-09,CaF2:Er
0.01734802182731471,2.8576499251095586e-08,2.4085134356527093e-09,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.491341019391314,9.89737007088589e-05,2.119278419636404,2.3350799499830077e-05,5.737537781256304e-09,CaF2:Er
0.01817993703992783,1.4238882031180085e-09,1.200095868266872e-10,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.490926536974925,1.0209557030812757e-05,2.119180628681927,2.408831587284781e-06,6.202584020854064e-10,CaF2:Er
0.02105689747397572,7.096384302898258e-12,5.981046449358265e-13,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.489493689820714,0.0002190102049445,2.11884253603039,5.168156656493511e-05,1.5413593302107877e-08,CaF2:Er
0.022642042096911192,1.3414937751291011e-06,1.1306513624544272e-07,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.488704573406437,0.0001334023740473,2.11865631342075,3.14827789751733e-05,1.0096305833057204e-08,CaF2:Er
0.025230360311792464,2.8992923332598934e-08,2.443610911603746e-09,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.487416594929254,8.121298728728661e-05,2.118352330302186,1.9168906117629907e-05,6.850063961485971e-09,CaF2:Er
0.025386825717922355,2.275975892820044e-10,1.9182610399237704e-11,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.487338757217603,5.949742418253623e-05,2.118333957952528,1.4043441235593695e-05,5.049586155722239e-09,CaF2:Er
0.0260360828007646,8.622534583393458e-11,7.267331876799808e-12,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.487015793725579,1.544970790012939e-05,2.1182577259953232,3.646798536714062e-06,1.344811020839958e-09,CaF2:Er
0.027830427750340336,2.610311158610328e-07,2.2000488728534972e-08,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.4861234410082185,0.0004288869645574,2.118047084287538,0.0001012458517325,3.990901079851916e-08,CaF2:Er
0.02872789570921968,1.633916822423482e-06,1.3771143151465845e-07,0.1049585944917552,0.009345920269570493,4.367199715162582,6.711078672223467,4.485677237828697,0.0001002590265532,2.117941745749613,2.3668973669821287e-05,9.630682947801168e-09,CaF2:Er
