Energy (eV),OscStrength,Normalized f,Peak Intensity,Spectral Area,Mean Energy,Variance,ε₁ (Real dielectric),ε₂ (Imag dielectric),n (Refractive index),κ (Extinction coeff),α (Absorption cm^-1),System
0.0,2.180620601388787e-11,2.180620601388787e-11,0.0,0.0,0.0,0.0,1.0,5.263449180681259e-09,0.017543051641013822,8.283019758668319e-08,2.4516693023830964e-11,CaF2
0.00016771457960363192,3.506997587480263e-08,3.506997587480263e-08,0.0,0.0,0.0,0.0,0.9996435014979932,3.1792402043465794e-08,0.01753759376500657,5.009001971523138e-07,2.5764367714303723e-10,CaF2
0.00016817834833138034,3.565151664719249e-08,3.5651516647192496e-08,0.0,0.0,0.0,0.0,0.9996425158449531,3.181005892934735e-08,0.017537578674355812,5.011787943086226e-07,2.5807545157457816e-10,CaF2
0.0004594413957135391,6.951718161833233e-13,6.951718161833232e-13,0.0,0.0,0.0,0.0,0.9990236500371688,4.483195464720518e-11,0.017528102969756397,5.48148419020844e-10,0.0,CaF2
0.00046920536253085743,5.796666389191302e-13,5.796666389191301e-13,0.0,0.0,0.0,0.0,0.9990029093889952,3.458001711704175e-08,0.017527785380470902,5.449098805423815e-07,4.838892373484231e-10,CaF2
0.0008715497706389041,2.3105004994939524e-05,2.3105004994939527e-05,0.0,0.0,0.0,0.0,0.9981485580910547,1.020266913893703e-06,0.01751470391738833,1.608352602375261e-05,2.229878035798401e-08,CaF2
0.0021996579709546906,2.885496520813738e-07,2.885496520813738e-07,0.0,0.0,0.0,0.0,0.9953327009957866,3.5326521496023285e-06,0.017471586964238874,5.572523168660556e-05,1.6878410916037582e-07,CaF2
0.0021999742293666727,3.324482643586372e-07,3.324482643586372e-07,0.0,0.0,0.0,0.0,0.9953320312478873,3.5287932061565077e-06,0.01747157664405006,5.566436795456713e-05,1.6862153375684402e-07,CaF2
0.0024340647305750498,8.188524559938502e-08,8.188524559938503e-08,0.0,0.0,0.0,0.0,0.994836394534278,2.4101603936897457e-08,0.017463954746825223,3.8012456443601733e-07,1.2634803902327078e-09,CaF2
0.0024410084510436067,8.889047854675677e-08,8.889047854675677e-08,0.0,0.0,0.0,0.0,0.9948216958057148,2.464673115341401e-08,0.01746372945521949,3.8872588310837994e-07,1.2953722139944159e-09,CaF2
0.0026745560480405045,1.3209197693800309e-08,1.3209197693800309e-08,0.0,0.0,0.0,0.0,0.9943274181011805,3.498842367337791e-07,0.01745615332399105,5.520376015341215e-06,1.9964562279337023e-08,CaF2
0.0026887922819023927,2.211116967385721e-07,2.2111169673857214e-07,0.0,0.0,0.0,0.0,0.9942972952542282,8.190584702973986e-07,0.017455692694827156,1.2923108312233162e-05,4.696121706703468e-08,CaF2
0.0026930398123442773,2.516040367070659e-08,2.516040367070659e-08,0.0,0.0,0.0,0.0,0.9942883079315146,9.303063154076154e-07,0.01745555532656378,1.467842207797302e-05,5.341664072982326e-08,CaF2
0.0027384756198609453,3.0243226667702272e-06,3.0243226667702272e-06,0.0,0.0,0.0,0.0,0.9941921747984841,1.562130488402215e-06,0.0174540849036555,2.464799442481035e-05,9.10806109483709e-08,CaF2
0.0033777560378156447,4.80418042683684e-07,4.80418042683684e-07,0.0,0.0,0.0,0.0,0.9928403993863841,3.569848878201971e-08,0.01743335456467416,5.633388929535394e-07,2.5301037152274183e-09,CaF2
0.0033946212003759897,4.578765373679784e-07,4.5787653736797833e-07,0.0,0.0,0.0,0.0,0.9928047581432402,3.398257181225384e-08,0.017432808027962744,5.362601964483544e-07,2.4198413625220663e-09,CaF2
0.0037287069698641985,7.700937561722254e-09,7.700937561722254e-09,0.0,0.0,0.0,0.0,0.992098950841148,4.798772686248654e-08,0.017421983985106436,7.574350611970734e-07,3.729926811423742e-09,CaF2
0.0039468583987971,8.801855174556129e-07,8.80185517455613e-07,0.0,0.0,0.0,0.0,0.9916382965295649,8.671741923550717e-08,0.01741491859107936,1.3689730414288772e-06,7.108110814598036e-09,CaF2
0.003950109474768355,8.687450300980329e-07,8.687450300980329e-07,0.0,0.0,0.0,0.0,0.9916314328094686,1.55358795794496e-07,0.017414813345548487,2.4526743908661715e-06,1.2741844843867341e-08,CaF2
0.0039785174252904175,5.341812057336303e-08,5.341812057336303e-08,0.0,0.0,0.0,0.0,0.9915714591916327,1.797660690345967e-07,0.017413893444776556,2.8380518916345307e-06,1.484304857453776e-08,CaF2
0.004067935366195739,5.511653344654447e-06,5.5116533446544476e-06,0.0,0.0,0.0,0.0,0.9913827035363769,4.619862747628085e-06,0.017411041987645363,7.294169502626035e-05,3.8945647934592464e-07,CaF2
0.004071409905043569,6.158458509112543e-06,6.158458509112543e-06,0.0,0.0,0.0,0.0,0.9913753696028147,4.515721353230958e-06,0.017410927529509408,7.12975567017467e-05,3.809843999362854e-07,CaF2
0.004162579425759548,1.349461866711901e-06,1.349461866711901e-06,0.0,0.0,0.0,0.0,0.9911829482361565,2.1983151467819722e-07,0.01740793391438105,3.4709189266793127e-06,1.894236588997698e-08,CaF2
0.004171393143451802,1.3109182526475988e-06,1.3109182526475988e-06,0.0,0.0,0.0,0.0,0.9911643477394954,9.07428930008476e-08,0.01740764849605716,1.4326834810710531e-06,7.836826407323742e-09,CaF2
0.005133884404756076,8.263992573213933e-05,8.263992573213933e-05,0.0,0.0,0.0,0.0,0.9891348387529613,1.8196664501448689e-06,0.01737651483098463,2.874506870583709e-05,1.9137361154677774e-07,CaF2
0.005632059027678191,6.8107578545807706e-06,6.810757854580771e-06,0.0,0.0,0.0,0.0,0.988085737468468,3.495871998905028e-07,0.01736040527439208,5.523645445379271e-06,4.018212140253285e-08,CaF2
0.00564689688764097,6.668167752911188e-06,6.668167752911189e-06,0.0,0.0,0.0,0.0,0.9880545046643618,2.4338130933287716e-07,0.017359925682583606,3.845537342548331e-06,2.8046988223889127e-08,CaF2
0.006648293784128798,2.926597809399381e-07,2.9265978093993814e-07,0.0,0.0,0.0,0.0,0.98594850858048,0.00014223827976796098,0.01736934937164463,0.0022471728848834156,1.916888393810984e-05,CaF2
0.006660637489655905,7.01116426655357e-05,7.01116426655357e-05,0.0,0.0,0.0,0.0,0.9859225722028659,7.448994283494209e-05,0.01733865637066264,0.001177384769890999,1.0061329606191598e-05,CaF2
0.006686244655532077,5.7001971333288974e-09,5.7001971333288974e-09,0.0,0.0,0.0,0.0,0.9858687686721184,5.080690819022605e-05,0.017331699139736596,0.0008031359192328299,6.888625056446347e-06,CaF2
0.006688349276062376,5.0247971708763516e-06,5.0247971708763516e-06,0.0,0.0,0.0,0.0,0.985864346735926,6.010429828599071e-05,0.01733376221211897,0.000950075942681484,8.151424525002513e-06,CaF2
