Energy (eV),ε₁ (Real dielectric),ε₂ (Imag dielectric),n (Refractive index),κ (Extinction coeff),α (Absorption cm^-1)
6.64466764583371,2.661898672603688,0.5168482226744711,1.639132410388718,0.15765908214574953,0.004409115270625258
6.649045775888959,2.6613193505810075,1.2447696868518767,1.673224162555911,0.37196740123285277,0.010409344919739353
6.650016196829805,2.6611910114064345,0.7520425650354352,1.6472102763643655,0.22827764488432642,0.006389182336951898
6.650155787584104,2.6611725524337024,0.5493970579518033,1.639887903992577,0.16751055258539516,0.004688492077921047
6.652170609496569,2.6609061771178766,0.009409523380592243,1.6312309755533847,0.0028841787341987273,8.075041174111791e-05
6.654384729108428,2.660613576842188,0.041055679470404935,1.6311872820137643,0.012584600163052812,0.00035245731143387286
6.654529838964461,2.660594404812189,0.0010851588974285279,1.6311328932558853,0.00033263963396418694,9.316452345244127e-06
6.654693930861629,2.660572725530101,0.027409337863618956,1.6311478524983005,0.008401855730510143,0.00023532198422054147
6.654699251677976,2.660572022573244,0.026430341555031468,1.6311461189149266,0.008101770052527829,0.00022691726565999808
6.6547795951091215,2.6605614081339617,0.002343596033443144,1.6311229028592313,0.0007183995851340075,2.012143477178378e-05
6.654844754410501,2.6605527998460783,0.008775228611438333,1.6311223239231925,0.002689935783082894,7.534232825331338e-05
6.660622691792635,2.6597899141785146,0.4119067746597242,1.6357392369360808,0.12590844718968505,0.003529627678923788
6.662775014495623,2.6595059591368897,0.18767732152030647,1.63181275688829,0.05750577715735771,0.0016125969033390552
6.66775382279268,2.658849575243821,0.03420323766352509,1.6306316468326667,0.010487726559822197,0.0002943202263038523
6.6680884833306875,2.658805478528917,0.8410464246187169,1.6503730008095567,0.2548049514279978,0.007151026923564769
6.668102282797795,2.6588036602985197,0.8363771011632375,1.6501596648695516,0.2534230835260888,0.007112259921064788
6.668469773652543,2.6587552412138518,0.21375320390751829,1.631883741377819,0.06549277944488975,0.0018381409263654575
6.6699348099273035,2.6585622494243166,0.07513208630150196,1.630672548234241,0.023037146968241846,0.0006467098536792883
6.6746395823194735,2.657942863778942,1.1138779483320818,1.6643090515577261,0.334636751296142,0.009400709902868051
6.674860852197008,2.657913747835816,1.1630395037791526,1.6672056062755105,0.3487990621556718,0.009798886360330267
6.679894496864955,2.6572517403170375,0.028805820579742403,1.6301318367179098,0.008835426660261474,0.00024840270768022675
6.680214491086357,2.6572096783112302,0.004315312589449795,1.6300955279763942,0.001323637944973342,3.7215067568102055e-05
6.685072277563062,2.656571471531126,0.16085464107054648,1.6306453230062568,0.04932238752385332,0.0013877441146696705
6.685203506749616,2.656554239489237,0.14235292964151677,1.630478422927098,0.04365372998495715,0.0012282737943535458
6.693877648636385,2.655416217984718,0.17761847383888774,1.630454871902654,0.054468994174496126,0.0015345686498946752
6.703834579609069,2.654112329879827,0.02379565054470986,1.6291610307907107,0.007303038218743862,0.00020605637660771602
6.703979659754187,2.6540933504128343,0.053577094097505884,1.6292218104297957,0.01644254138832662,0.00046393894186604084
6.70398665195694,2.6540924357028084,0.05358127119548198,1.6292215426752201,0.016443826021199325,0.00046397567269262143
6.7041317079615395,2.654073459970992,0.004319377953263259,1.6291332718243843,0.0013256674662327017,3.7405574725691075e-05
6.713191640436555,2.652889360804613,0.008999088591810301,1.6287716207079277,0.002762538491382616,7.805425429463714e-05
6.717225522031442,2.652362837551208,0.12783653756662172,1.6290801962292996,0.03923580246770881,0.001109255689122402
6.717268097867587,2.652357282596203,0.1344945152414659,1.6291289573128305,0.04127804451505929,0.001167000368341003
6.721772324598171,2.651769874195957,0.3295878046618421,1.6315550012042797,0.1010041967382555,0.0028574748283977124
6.722403496405136,2.651687603634908,0.45896475303785234,1.6344420810041833,0.14040410436442877,0.0039724969814961125
6.737605908429175,2.6497091681658835,0.0035663479609163726,1.6277930974750434,0.0010954549341830795,3.1064138707615034e-05
6.737897906463332,2.6496712265138074,0.00010471442728510914,1.6277810748219124,3.2164776881184924e-05,9.121455953846592e-07
6.764733217317915,2.6461937409386063,0.0003075635502283596,1.6267125590821296,9.453530957153994e-05,2.6915591016198854e-06
6.764878548426654,2.646174958801004,0.13056945685553462,1.6272014756924305,0.04012086358266595,0.001142324449973344
6.7677311295389275,2.6458064106458115,1.578530919484777,1.6921471143780238,0.4664283932738885,0.013285786596054325
6.76782852007107,2.64579383168232,1.7177790387387437,1.702984554366096,0.5043436930577901,0.014365975995852768
6.790715355390768,2.6428445513858407,0.005084324387031547,1.6256835475267104,0.0015637497207897056,4.469325318684688e-05
6.797261287756957,2.6420034986623246,0.04961592662051249,1.6254957461285509,0.015261782978725606,0.0004366147811156638
6.839176106591985,2.6366441017951434,0.03304281329751316,1.6238065223679896,0.010174492109233683,0.00029287056301083357
6.873304297516266,2.6323133962321084,0.000845364410935719,1.6224405887748428,0.0002605224551091616,7.536503926864807e-06
6.8734498226672365,2.6322949929994333,0.0008263212309481259,1.622434916367504,0.0002546546619230001,7.366913893051228e-06
6.896935911670541,2.629331930226695,0.004120667916859932,1.6215219840307846,0.0012706173451622637,3.6883333538997195e-05
6.8972995530458645,2.6292861616653207,0.0026670694606365933,1.6215075818552545,0.0008224042522469903,2.3873914333744622e-05
6.905623995733417,2.628239342008776,0.0006342589899293871,1.621184560830247,0.00019561591116491674,5.6854690618470816e-06
6.908161565461826,2.6279205826757264,0.01937910282601025,1.6210972546615692,0.005977156142323688,0.0001737865986244176
6.913615886617292,2.6272359800442686,0.02042907442804371,1.62088731655136,0.006301818213837127,0.0001833708566934174
6.917039631417904,2.626806627875184,0.0373505884831646,1.62078357384887,0.011522386173522532,0.00033544543535642373
6.917083772701135,2.6268010942898314,0.03954499135226638,1.6207868205526677,0.01219931913648706,0.00035515491077028704
6.934607216046484,2.6246081965534223,0.0715386198429398,1.6202146727720064,0.02207689544020293,0.0006443458918039402
6.950296766019911,2.622651304132546,0.00902426469208889,1.619462585857958,0.0027861911633130366,8.15029737892436e-05
6.951232928577877,2.6225347344781813,0.03179334429075077,1.6194539480004497,0.009816069277555656,0.0002871829499449801
6.955301003849235,2.622028436840023,0.0196184428933551,1.6192792018120161,0.006057770294164091,0.00017733233263378119
6.955650123602747,2.621985005873392,0.026510702423227624,1.6192751514531794,0.008185978275357659,0.00023964452540037526
7.007595497499162,2.615556607510952,0.0030861109787613237,1.6172685360943815,0.0009541121063334872,2.8140229001589062e-05
