Energy(eV),OscStrength
1.034125628808448605e+00,1.257393614510853540e-03
1.034149039199791176e+00,1.232082895991195096e-03
1.037247647835391362e+00,1.981990917531645593e-03
1.043631142004154411e+00,1.328620970096157546e-02
1.043718294660352930e+00,1.327199775791132637e-02
1.050692722069322960e+00,7.884045621196408335e-07
1.054235860346883547e+00,3.462732590552954542e-05
1.054306287096575145e+00,3.066930523539558730e-05
1.054509865571123584e+00,3.066417576733265792e-05
1.054639845681647925e+00,1.419352874196764335e-05
1.059100242959415183e+00,1.641562636592195432e-07
1.059186219392342698e+00,2.207328296703772219e-07
1.059420330186814363e+00,2.245842339409387712e-07
1.059506222656400931e+00,1.586979157703750548e-07
1.070459459707195249e+00,1.163720477366649888e-06
1.070545285104272271e+00,1.169441813774964135e-06
1.071768015515366823e+00,8.441039077252870991e-04
1.077036705397957705e+00,1.157247143890748926e-04
1.077291840533427747e+00,1.033623972497502022e-04
1.082352042495654976e+00,2.000047502963948629e-05
1.082417324270426695e+00,1.280239412566420194e-05
1.085770708097746340e+00,1.189481045478277006e-03
1.090802529239591978e+00,1.835944473454101921e-06
1.092473460205194646e+00,4.923432739597833653e-03
1.097337846612617573e+00,7.267922858928001217e-03
1.097542586461218717e+00,7.370583945884049901e-03
1.101767249252202818e+00,1.852184306884903115e-03
1.102116334154990218e+00,2.014301549342758374e-03
1.106814804841036892e+00,3.473819083271155223e-04
1.107276188223699664e+00,2.440394851818643426e-04
1.109129399928161286e+00,3.081901758326416156e-03
1.116810827542594975e+00,7.953996490370471426e-07
1.116896760762420948e+00,5.909800684948080046e-07
1.117102499975853425e+00,7.032920243875729247e-07
1.117188424486956766e+00,6.822711926789105825e-07
1.132917960218577713e+00,9.303365290407591222e-06
1.132977915267934899e+00,9.066932080522064385e-06
1.136509364649333609e+00,2.494102488150307795e-06
1.143045216823609156e+00,6.796395154946597277e-07
1.143131925165559837e+00,6.810426749797237565e-07
1.146556294592118164e+00,1.078687916733927186e-02
1.159526298233205521e+00,4.975371783855787053e-04
1.159829423650246438e+00,4.756554341945183509e-04
1.169854016761045168e+00,1.203722445364344747e-03
1.170022682371153477e+00,1.206268210572566902e-03
1.185999755127381317e+00,1.238754273181492515e-03
1.203966733035098047e+00,9.826051375525495662e-05
1.204027739437251165e+00,9.878843407934739427e-05
1.230030842531363078e+00,2.269174207822180998e-07
1.230085074852215410e+00,1.689867425380558622e-07
1.232551600886098164e+00,3.642098972262757600e-08
1.232630608802958827e+00,4.144645138621347832e-07
1.232678520604554517e+00,2.716116388126672796e-07
1.233596279668128126e+00,5.072823407593082989e-06
1.233630164069943858e+00,1.788344759619974744e-07
1.233674200314063940e+00,7.505295181426722647e-06
1.234183675981422423e+00,6.487162843553971780e-10
1.244961186009051701e+00,4.308956010202979157e-04
1.245215012385585851e+00,4.533589191198989562e-04
1.252671423454349897e+00,2.869182874951007982e-03
1.254839588745339851e+00,8.406945539847893688e-04
1.256197814610051866e+00,1.211707544081236653e-04
1.256283663543043216e+00,1.189968266492704221e-04
1.266433072583906139e+00,7.687052192793307026e-05
1.266573327737199550e+00,8.258423740301076388e-05
1.270326114940112383e+00,6.078839839404994750e-06
1.271121854342923907e+00,6.360788896040871091e-04
1.271192549876238198e+00,6.310866005787528488e-04
1.272742666803862832e+00,7.326745682170074077e-04
1.273339565512587201e+00,6.625759395342326313e-04
1.273426220133510922e+00,6.466624565498611723e-04
1.277368606821877250e+00,1.844439457359671530e-06
1.291957061436821874e+00,7.839024437888223584e-06
1.292881290746429546e+00,1.246786746508329219e-08
1.292967233434962226e+00,1.339212068431916079e-08
1.296224529706788475e+00,1.776691663940721469e-08
1.296264157617061041e+00,1.549068932372635711e-08
1.296310314345706871e+00,1.433871138305397683e-08
1.296350229702067702e+00,1.531439676044684505e-08
1.310926235449420441e+00,8.499683341422146696e-03
1.311159571623283782e+00,8.658989700118347593e-03
1.313068665877911156e+00,2.257851860561631594e-05
1.313448363477760283e+00,3.283293763920965610e-05
1.334838398534927695e+00,8.589253236148018750e-08
1.346250327849302986e+00,6.211355049798519476e-03
1.361564481420635131e+00,2.616654859717686740e-03
1.362339826508725205e+00,2.909576578798398188e-03
1.365997911564876599e+00,6.763507603362089928e-05
1.374850464955966522e+00,1.851988216664113133e-05
1.374940070677167503e+00,1.307113838837986803e-05
1.375193729924126584e+00,1.486134102595508679e-05
1.375231776327434430e+00,1.472077457168748320e-05
1.398165129149362862e+00,1.175318516920987417e-03
1.398577484855426434e+00,5.396676497310494208e-04
1.401761263874303332e+00,4.629313015672181786e-03
1.402634301420253804e+00,5.181521607991019206e-03
1.403042028851206213e+00,3.939196217093556517e-03
1.408430829262931283e+00,1.988980983193411724e-04
1.410938421385455221e+00,8.909865627814294867e-07
1.415200708674641650e+00,5.908340774599856252e-04
1.415590808256417255e+00,1.358992911415221562e-03
1.416087565417667893e+00,1.707262649377764641e-03
1.418461717693664026e+00,1.734353938326497341e-03
1.424278718355431961e+00,8.256764594152280151e-05
1.424377088786872525e+00,3.749605528742194028e-05
