Energy (eV),OscStrength,Normalized f,Peak Intensity,Spectral Area,Mean Energy,Variance,ε₁ (Real dielectric),ε₂ (Imag dielectric),n (Refractive index),κ (Extinction coeff),α (Absorption cm^-1),System
0.29960527333916703,7.763278063759619e-07,7.763278063759619e-07,0.0,0.0,0.0,0.0,0.47974467385843433,0.0006299992330018598,0.014791228130969558,0.007807529367146632,0.007534005814434741,CaF2:Er
0.2999836332522733,6.319939053323828e-05,6.319939053323826e-05,0.0,0.0,0.0,0.0,0.47926438275381456,2.7128065088611606e-05,0.014375634107576474,0.000337819709340555,0.0003263967732047218,CaF2:Er
0.300730627824411,0.0010713276809035022,0.0010713276809035022,0.0,0.0,0.0,0.0,0.4783172070977195,2.482614192050209e-05,0.014349470886060964,0.0003092484158155116,0.0002995341373584169,CaF2:Er
0.3012276508586481,0.0001983565631858912,0.0001983565631858912,0.0,0.0,0.0,0.0,0.4776877706098235,0.00016030784944797382,0.014357968989224992,0.001996686161649332,0.001937147822041806,CaF2:Er
0.3012435492299744,0.00014463993311890103,0.00014463993311890103,0.0,0.0,0.0,0.0,0.4776676469793313,0.00015649464428803581,0.014356173952649959,0.001949232129032223,0.0018912084306194265,CaF2:Er
0.3016399224511953,0.0001360573057526697,0.00013605730575266969,0.0,0.0,0.0,0.0,0.4771661367071456,7.63024360226621e-05,0.01432317649299776,0.0009507561426857883,0.0009236663864492519,CaF2:Er
0.30171263884151406,9.779733479379921e-09,9.77973347937992e-09,0.0,0.0,0.0,0.0,0.4770741754098877,1.5684369197580586e-05,0.014314903266693074,0.0001954519774750302,0.0001899296773043893,CaF2:Er
0.3021869123870834,0.004625603577663143,0.004625603577663143,0.0,0.0,0.0,0.0,0.47647470840216366,1.9007593039031138e-05,0.014298530401604073,0.00023690963218436534,0.00023057684124744792,CaF2:Er
0.302627712447928,0.00029425183677852466,0.00029425183677852466,0.0,0.0,0.0,0.0,0.4759180579872522,0.0001774148441430365,0.014315276996762466,0.0022108562599718285,0.0021548798239951553,CaF2:Er
0.302973765794819,0.0006882426330353903,0.0006882426330353903,0.0,0.0,0.0,0.0,0.47548139753080965,0.002693357235296567,0.020543830724510298,0.03129661544032875,0.030539011174987793,CaF2:Er
0.30304832227519385,0.005737580302645683,0.005737580302645682,0.0,0.0,0.0,0.0,0.47538735930778553,0.002132350153035499,0.018435637474050165,0.025357384707230264,0.024749629162983403,CaF2:Er
0.3032709942113469,2.5549917497034554e-07,2.5549917497034554e-07,0.0,0.0,0.0,0.0,0.47510658585452714,0.0003320765464941755,0.014373966283952933,0.004135351729170566,0.004039197856129607,CaF2:Er
0.30349675961231243,0.0027632195062357316,0.002763219506235731,0.0,0.0,0.0,0.0,0.4748220387759208,0.0008861682919832299,0.015045127611164444,0.010950061307163151,0.010703397268373507,CaF2:Er
