Energy(eV),OscStrength
1.280533386578619204e-01,2.059147262145871547e-07
1.299794170524984638e-01,1.002310318749218928e-06
1.341516851167347257e-01,1.796752958497464786e-05
1.341979012078607092e-01,1.928261363629979435e-06
1.349616097521947611e-01,1.107171407436919464e-04
1.410382873661043812e-01,7.914857207514440426e-09
1.439888202812736051e-01,1.955138410222276188e-06
1.446245036638352244e-01,7.322364754899794653e-07
1.516902952908060209e-01,5.393065630313534169e-09
1.543651613895198615e-01,9.735223960426167763e-07
1.573699388075568972e-01,8.143479139226524424e-06
1.601519582224652793e-01,6.057374332419931343e-04
1.634582167119264795e-01,1.888682027476632576e-05
1.659011010676486320e-01,3.599818253804064317e-04
1.746767275692802102e-01,6.256280558119000421e-07
1.764354126364239550e-01,1.214784104359057624e-07
1.860737259629858531e-01,3.059428040702812969e-04
1.885215240014322668e-01,7.058671637259357457e-05
2.035505980526674807e-01,1.243576911012851454e-03
2.070341503971137309e-01,9.375430094170255403e-09
2.272938583661929524e-01,2.739751777352595935e-04
2.325074509908048315e-01,4.547579157377561692e-05
2.399203925991948150e-01,2.402492603506658814e-04
2.406108361852176414e-01,1.775038943189878021e-07
2.582786197647697346e-01,9.576447815726498965e-05
2.745202951856864915e-01,2.748432082198287978e-03
2.830706220404086149e-01,6.683468131223549305e-04
2.968178611242018872e-01,1.582150521148390171e-04
3.020131089322940499e-01,4.731516197840619775e-02
3.069354301515267447e-01,8.380953528976173154e-05
3.216992619236022088e-01,6.491863435980171730e-04
3.256176886893140665e-01,1.285023279571527514e-05
3.553973608468436463e-01,2.536835363610679055e-09
3.653079003733318841e-01,6.650160949812348359e-04
3.704669339227670277e-01,8.613589381643701329e-06
3.724844287478596971e-01,5.219216457432463915e-03
3.732255271619394632e-01,1.935073780050521888e-04
3.814608704215606827e-01,1.202337455366573175e-05
3.852339460024111206e-01,4.522210890353304740e-07
3.855003015733767247e-01,2.129793777364656984e-02
3.890186633960875939e-01,4.953152744601079308e-04
3.926929668175269117e-01,1.412021011325278521e-06
3.971936270190522533e-01,3.776258963186398913e-03
4.010152103300662074e-01,6.386264585105843842e-09
4.046030418451634358e-01,2.030301575249186675e-06
4.082692407620716613e-01,2.090704916907960994e-05
4.084623227793211520e-01,1.009859392960030071e-04
4.157236787861907645e-01,1.115957375227897034e-03
4.187252907517696188e-01,4.694705557458821508e-05
4.199746110911937169e-01,2.326266370494061876e-06
4.250141255638767990e-01,2.796508629903659031e-04
4.343560449816896152e-01,2.383397297731519333e-03
4.363679224887282992e-01,2.509530264116604730e-07
4.390568475880535226e-01,7.339251630954856482e-04
4.457905571419076285e-01,1.944562038402764849e-03
4.493349560811393251e-01,1.196518265751238758e-08
4.533936083790358063e-01,6.788555327457904479e-03
4.548555132044893590e-01,1.095013491152222429e-05
4.604971959432944129e-01,1.285084207644547312e-03
4.658853799449310662e-01,1.499420312841926422e-05
4.671408610270311179e-01,6.785008205067011690e-04
4.697676344697637729e-01,3.415093761979828667e-05
4.709696315118275245e-01,4.941429605611868383e-04
4.731785670242177888e-01,6.346447517813290362e-03
4.830437985713896820e-01,1.576391593186243735e-05
4.961497037138944410e-01,8.705868181361809972e-04
5.073528532074167430e-01,1.039555434013962739e-03
5.171339147321067919e-01,1.075444577780133048e-07
5.263633205420178429e-01,2.450782083219960287e-06
5.317268081614686670e-01,3.285228496123649561e-02
5.816020540920309179e-01,2.748532723913684188e-05
5.922228466913860290e-01,6.794585811982985093e-11
6.041221588421915589e-01,1.722008170932442579e-08
6.254338573537546742e-01,6.228425731504971549e-09
6.346294974310056070e-01,1.762385664801439979e-05
6.472119201266562927e-01,5.749020312007912647e-05
6.583813917557830298e-01,9.462145536610085236e-06
6.717731792913532729e-01,4.312120470722219791e-04
6.755750822551185308e-01,5.912818177481026644e-04
6.901053371101565359e-01,5.227592278944118043e-06
6.982157881954244028e-01,4.569557027938923009e-04
7.024697709330591788e-01,1.352383721606929695e-06
7.148818557926767125e-01,5.293568417203416794e-04
7.163057423775068822e-01,2.133657391230897020e-07
7.185571227720322085e-01,1.924920339383691365e-05
7.205785705192159218e-01,2.157821662024670604e-05
7.221780052706866515e-01,2.406986879989207924e-04
7.289605852296542343e-01,2.208587749316268490e-07
7.299782632669223892e-01,1.728643877344439262e-03
7.326119875466139408e-01,3.201562010143497144e-06
7.365506079032256848e-01,2.958031568038478197e-04
7.366528878809612824e-01,4.177279824888474972e-07
7.378092049918575368e-01,9.124629031738234973e-07
7.403997986407614418e-01,3.412341273737888127e-06
7.405546622241754307e-01,2.587141183906635278e-05
7.423913820782177542e-01,2.390324687056897414e-06
7.435113137308088094e-01,2.915088308645934567e-05
7.452948661575538036e-01,1.249082497014647874e-05
7.463235263182720347e-01,2.145785132129521948e-07
7.485913004089973510e-01,2.164206550099447731e-05
7.500828901252440950e-01,1.989025748637921846e-06
7.506378740338452982e-01,1.836947867890178346e-05
7.522370392349142509e-01,3.424587312774699682e-04
7.529256027993894707e-01,2.026541296143787459e-08
7.532353629419538121e-01,1.569645460244746955e-05
7.541310015010653789e-01,3.792446585318135583e-10
7.562191563628192226e-01,5.196087188933160852e-08
7.593301874395699258e-01,7.729710971291009144e-06
7.607534046383505055e-01,2.425497997587966210e-05
7.636579371286580376e-01,2.109232419269305148e-04
