Energy (eV),ε₁ (Real dielectric),ε₂ (Imag dielectric),n (Refractive index),κ (Extinction coeff),α (Absorption cm^-1)
0.24061083618521764,4.382543381171492,0.1342740500857184,2.093698073964527,0.03206624005520572,0.00010927908890485034
0.25827861976476973,4.374139385747612,0.035207319180322695,2.091461266738921,0.008416918768754377,3.0790407477360246e-05
0.2745202951856865,4.366439897515235,0.04137367646085741,2.0896262592004735,0.009899779034347106,3.849229468667976e-05
0.2830706220404086,4.362396588740561,0.06593433662287136,2.088694738698129,0.015783622039468717,6.328128879495477e-05
0.2968178611242019,4.355910223644626,2.6408179359228967,2.1736853180782885,0.6074517580717689,0.0025537340560387125
0.30201310893229405,4.353463587467779,0.20518899480068087,2.0870745090667158,0.04915708421268638,0.00021027408513751958
0.30693543015152674,4.351147826795543,2.885442666452046,2.187703457541161,0.6594684157273993,0.002866915329913549
0.3216992619236022,4.344215676145612,0.04830232759940845,2.084310422560308,0.011587124229815273,5.2795823868746315e-05
0.32561768868931407,4.34237926833255,0.057641221906871834,2.08388352455056,0.013830240804671018,6.378397410297487e-05
0.35539736084684365,4.3284696744293445,0.020171188929637058,2.080503106064244,0.004847670948168431,2.4401761330476475e-05
0.36530790037333194,4.323858967249515,0.02437277480426396,2.0793973437408697,0.00586053812119381,3.0322876946942118e-05
0.370466933922767,4.321462430568207,0.7310939401527606,2.0861844219673733,0.17522274935389082,0.000919419657901316
0.3724844287478597,4.32052591183502,1.7127234587479716,2.117562901195289,0.40440911053485085,0.002133550352307818
0.37322552716193946,4.320181989709045,2.4987222541431393,2.1576528875344105,0.5790371260778828,0.00306091728616751
0.38146087042156074,4.316363636095519,0.003624527426210491,2.077586194840167,0.0008722929125523602,4.712877840811525e-06
0.3852339460024111,4.3146163324349684,29.986978811047255,4.159952224593107,3.604245576880434,0.019665852026874667
0.3855003015733767,4.314493033528175,29.67752161244226,4.141496922375174,3.58294623522526,0.019563153251547186
0.3890186633960876,4.312864961624337,1.239104326347149,2.097641638504969,0.29535653364277276,0.0016273870786555056
0.39269296681752686,4.311165952439957,0.12164445106741824,2.076541322934514,0.029290159007166954,0.00016291035724347593
0.39719362701905225,4.309086533931717,0.059919755329111306,2.0758841072040637,0.014432345987225825,8.11919639983657e-05
0.40101521033006626,4.307322334908603,0.1919966795152304,2.0759240861696417,0.046243665843652124,0.0002626557686032044
0.4046030418451634,4.305667272030561,0.0011369517300221766,2.0750102040920777,0.00027396292510904096,1.569982392134911e-06
0.40826924076207166,4.303977284718149,0.15829301620371544,2.0749535489579687,0.0381437493584386,0.00022056870064051057
0.4084623227793212,4.303888315119638,0.1636611917656702,2.0749562917783093,0.03943726246527397,0.00022815637450826723
0.4157236787861908,4.300544872848505,0.08475906750533924,2.073876191961778,0.0204349391332621,0.00012032391490802154
0.4187252907517696,4.29916421870523,0.05215084370916298,2.073480736908606,0.01257567595899586,7.45820600049158e-05
0.41997461109119366,4.298589811945602,0.007102126812230508,2.073304788369459,0.0017127551269920987,1.0188075541049683e-05
0.4250141255638768,4.296274223760834,0.046036133061334875,2.072775323974464,0.01110495009488855,6.684883131558779e-05
0.4343560449816896,4.291987907497942,0.37530201853961365,2.0736867212683294,0.09049149389114877,0.0005567080118992847
0.43636792248872824,4.291065853232906,0.22516317209145953,2.0722011351138874,0.05432946837930681,0.0003357856381641806
0.4390568475880535,4.289834083580834,0.09888817592971155,2.0713290164122937,0.023870706958230865,0.00014844305368032608
0.4457905571419076,4.286752343671694,0.11942121760858092,2.070648182936907,0.028836675054866805,0.0001820748212052507
0.44933495608113927,4.285131885578307,0.1954821505561844,2.0705941508040815,0.047204361723970634,0.00030041815819666805
0.45339360837903586,4.283277727062909,1.1906732060371223,2.089134867128679,0.28496800871300215,0.0018299757923592563
0.45485551320448936,4.282610237702848,1.4596985552707766,2.0984698155783508,0.3478007032635055,0.0022406692933262125
0.4604971959432944,4.280036137646039,0.00411197166243097,2.0688250591271506,0.0009937939519181376,6.481823231540222e-06
0.4658853799449311,4.2775804102268085,0.154207548529652,2.068567079280066,0.03727400239380209,0.00024595686813502597
0.4671408610270311,4.277008590197136,0.11172009514096592,2.068269331652403,0.027008110943590725,0.00017869644366376997
0.4697676344697638,4.2758126672277905,0.07449525748226235,2.067882277990732,0.01801245125874994,0.00011984771388142939
